,freq,error_thresh
2019R9,1.0,148.41586684376284
2019P142,2.0,302.0211527863129
2019T66,0.5,22.207923676085155
2020P164,1.0,40.433616455407005
2019R8,1.0,65.95938702276517
2020P170,1.0,40.8430524403657
2019P203,0.5,31.613506926123485
2019P91,0.2,10.574576915298952
2020P176,1.0,52.296893013615495
2019P151,1.0,263.29393785425793
2020P171,1.0,168.2211102155484
ASFS50UCB4,0.2,2.3547987607530003
2020P162,1.0,33.275683585973546
2020P233,1.0,39.451871455217685
2019O4,0.2,12.934668586681514
2019P119,1.0,
2020S97,1.0,50.76327198566539
2019T67,0.5,13.130016015169748
2019P143,2.0,256.56684534390166
2019S87,1.0,43.44573880470624
2019P137,2.0,540.0298811134052
ASFS30UCB5,0.2,3.280438382741691
2020P163,1.0,33.40991361801446
2019O7,0.2,9.604232999635036
2020T84,2.0,139.6205128413331
2020P178,1.0,28.274064089900737
ASFS30UCB4,0.2,1.9035758427586464
2020P174,1.0,32.77559076748309
2020T81,2.0,146.21017292903164
2019S95,1.0,20.041340909064857
2020R10,1.0,53.990866879732636
2019P112,1.0,
2019S94,1.0,43.01533111084765
2019O2,0.2,10.017825427561299
2019T70,2.0,139.57686791716677
2019P153,1.0,116.7193640116327
2020P230,1.0,208.88664880954283
2020P236,1.0,47.05422634728306
2019O3,0.2,8.246138767444904
2019P138,2.0,291.80797268621785
2019P126,1.0,29.818671317698342
2019P161,1.0,29.374915575331098
2020P220,0.5,112.914570271838
2020O10,0.1,86.50020356015953
2019P187,0.5,16.329218953815932
2019P140,2.0,264.27370470579467
2019P199,0.5,28.86825491088875
2019P146,2.0,165.07120583402008
2019O6,0.2,9.071385426053332
2020T74,0.5,34.17276175955174
2019P125,1.0,274.06619149069576
2019T56,2.0,109.00262680763419
2020P177,1.0,33.11774007354096
2020R21,1.0,42.95600107548603
2019T68,2.0,164.81740753226748
2019P152,1.0,96.966808875077
ASFS50UCB3,0.2,3.225118791116806
2019P92,0.2,16.1247042070122
2020T85,2.0,117.70842368205021
2019V4,1.0,85.48859883979284
2020P228,1.0,222.4393674253439
2019P189,0.5,11.956615920563086
2020P172,1.0,49.33457488961763
2019F3,2.0,151.80848948552918
2019P90,0.2,56.892639246314694
2019P102,0.2,67.99428011133308
2020P225,1.0,269.0975313705805
2019P139,1.0,793.4340449005425
2020T78,0.5,10.049590135483443
2019M30,1.0,53.79215848243716
2019P88,0.2,17.04519987347116
2019P105,0.2,48.04786220604496
2020E1,1.0,69.50631680382402
2020S108,1.0,46.62040700149945
2019P195,0.5,30.618628495094413
2020M23,1.0,125.8132709489657
2019V2,1.0,54.22646786153187
2019S96,1.0,65.12308370321006
2020P180,1.0,33.97974746660783
2020P226,1.0,84.35239390995056
2019P192,0.5,57.518705868174635
2020P168,0.5,22.02480915944294
2020S109,1.0,47.260936455155345
2019P183,0.5,45.10998147816382
2020P231,1.0,160.89974773148296
2019P206,0.5,22.216701860896357
2019T72,2.0,81.35900926171522
2020P212,1.0,73.44349377981266
2019P156,1.0,116.65862514803754
2020P217,0.5,123.62493025046611
2019P128,1.0,192.72908639078824
2019P157,1.0,95.3753827072544
2020P160,1.0,253.4470452069807
2019P191,0.5,58.8216771256831
2019P209,0.5,56.60235540128518
2019P196,0.5,17.048998372711726
2019S90,1.0,31.016029856627487
2019S84,1.0,96.80361505559239
2019P198,0.5,42.11912834717207
2020M27,1.0,334.84158059430695
2019P204,0.5,22.46997238718468
2019P184,0.5,97.56001087049309
ASFSTUCB3,0.2,2.032676585506752
2019P122,1.0,27.700248992065372
2019P148,2.0,343.71611836747525
2020P179,1.0,33.096356523807884
2020P227,1.0,125.23520495600074
2020P175,1.0,43.610870204270725
2020P165,1.0,34.667939768492054
2020T76,0.5,19.99815867870196
2020P218,0.5,116.3336836689825
2020P181,1.0,50.32714569526962
2019T71,2.0,145.07502048425778
2019T63,0.5,26.802630727974496
2019S93,1.0,47.03597961083451
2019P188,0.5,13.460815303907268
2019S92,1.0,37.191906479171536
2020M29,1.0,61.757644724251136
2019F2,2.0,134.33413954220475
2019F4,2.0,173.96401893751352
ASFS30UCB1,0.2,2.3820019501529135
2020S106,1.0,47.547480680046405
2019T59,2.0,199.90024244656493
2019P127,1.0,223.84494956278616
2019P114,1.0,
2019T62,0.5,19.95630344299082
2019O8,0.2,11.360666808258348
2019P193,0.5,20.964032943114486
2019T69,1.0,69.03017562047295
2019P197,0.5,22.847460087368
2019P124,1.0,241.99057632598934
2020S107,1.0,55.71065001791264
2019P159,1.0,178.6185743677535
2019P136,1.0,221.23016710767638
2019T58,2.0,167.9557459742652
ASFS30UCB3,0.2,4.9390553343373105
2020T61,2.0,145.7144864130867
2019P150,1.0,45.57203058981812
2019V1,1.0,32.92936924848159
2020T75,0.5,18.28417670773859
2019P113,1.0,
2020P167,1.0,31.05077325345084
2019P200,0.5,20.014694560532533
2019T57,2.0,116.81067536296204
2020P232,1.0,55.20503791373122
2019T65,0.5,14.29862769276359
2020P169,1.0,25.898018905386504
2019P145,2.0,191.41115230150777
2019P135,2.0,378.53439355339935
2019S80,1.0,33.94131443144586
2020M26,1.0,190.6848510516415
2020S105,1.0,40.04402220197303
2020P186,0.5,110.51552595410216
2019P202,0.5,38.20524758126637
ASFSTUCB1,0.2,2.3129119305375037
2020E2,1.0,115.21256925383157
2020T77,0.5,16.1920339303654
2020P185,0.5,94.61389939734693
2019S79,1.0,40.17755053454496
2019P205,0.5,74.64348624543324
ASFS50UCB1,0.2,2.507802280382406
2020T79,0.5,20.78596787275559
2019P207,0.5,14.030157119176796
2020T73,0.5,35.41233690758987
2020P166,1.0,34.377871145275506
2019V3,1.0,39.43551018124445
2019P182,0.5,87.25561408052397
2019P101,0.2,22.032105296577043
ASFS30UCB2,0.2,4.105395513836225
2019P194,0.5,62.00405658895209
2019S86,1.0,59.54719672947692
2020P234,1.0,55.835398312062665
2020P173,1.0,39.974005032114405
2019V5,1.0,26.05553124799053
2019P144,1.0,130.35518966112164
2020E3,1.0,152.50737135567098
2019O1,0.2,10.071765279664625
2020P213,1.0,170.47246006185793
2019P123,1.0,31.047317639766334
2019P208,0.5,14.180423083363403
ASFS40UCB1,0.2,2.0793139271700984
2020P216,0.5,64.23100665224119
ASFS50UCB2,0.2,2.842899435301933
2020R11,1.0,64.10587263091797
2020R12,1.0,44.557676692084975
ASFSTUCB2,0.2,4.299899893630481
2019P201,0.5,64.13104393898257
2020S98,1.0,44.999146148017395
2019P155,1.0,163.97052942967736
2020S99,1.0,57.898341962593875
2019S81,1.0,49.914776867595315
2020P219,0.1,40.42418969079834
2019O5,0.2,7.755452302044214
2019P158,1.0,296.97402468352703
2019T64,0.5,19.50526678798553
2019P103,0.2,17.317146440944835
2020P229,1.0,239.0932292736986
2020P237,1.0,41.943780082422016
